ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $800",2021,"2021",10429950,34776.80750155195,"United States","01000US","united-states",0.13012687206275075
1,"$800 to $1,499",2021,"2021",12113700,43503.62642355233,"United States","01000US","united-states",0.15113379163913
2,"$1,500 to $1,999",2021,"2021",7472103,32962.8291413222,"United States","01000US","united-states",0.09322397433551417
3,"$2,000 to $2,999",2021,"2021",12033398,49362.7191815848,"United States","01000US","united-states",0.15013192220731267
4,"$3,000 or More",2021,"2021",34592093,113709.40508154986,"United States","01000US","united-states",0.4315802913910206
5,"No Real Estate Taxes Paid",2021,"2021",3510917,18480.35410916144,"United States","01000US","united-states",0.0438031483642718
0,"Less Than $800",2021,"2021",2439,405.5317496818221,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.09812520115867396
1,"$800 to $1,499",2021,"2021",2845,348.7377237982722,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.11445928548439009
2,"$1,500 to $1,999",2021,"2021",2443,352.7718809655895,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.09828612809784358
3,"$2,000 to $2,999",2021,"2021",5476,521.4920900646529,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.22030897972320568
4,"$3,000 or More",2021,"2021",10590,672.8157251432223,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.426054071451561
5,"No Real Estate Taxes Paid",2021,"2021",1063,295.85300404085814,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.042766334084325716
0,"Less Than $800",2020,"2020",10933041,41576.49616069157,"United States","01000US","united-states",0.13874175242828246
1,"$800 to $1,499",2020,"2020",12687284,46851.8859599056,"United States","01000US","united-states",0.1610033307032608
2,"$1,500 to $1,999",2020,"2020",7456713,32038.92721362562,"United States","01000US","united-states",0.09462668519899957
3,"$2,000 to $2,999",2020,"2020",12055376,49350.868786678926,"United States","01000US","united-states",0.15298433367457948
4,"$3,000 or More",2020,"2020",32307496,108348.73799449627,"United States","01000US","united-states",0.40998644490674885
5,"No Real Estate Taxes Paid",2020,"2020",3361466,18899.94290996669,"United States","01000US","united-states",0.042657453088128815
0,"Less Than $800",2020,"2020",1957,289.6377047278203,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.08202011735121542
1,"$800 to $1,499",2020,"2020",2957,351.9573837838894,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.12393126571668063
2,"$1,500 to $1,999",2020,"2020",2746,369.21809273111194,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.11508801341156748
3,"$2,000 to $2,999",2020,"2020",5302,478.13805537731463,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.22221290863369655
4,"$3,000 or More",2020,"2020",9752,630.4228739504937,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.4087175188600168
5,"No Real Estate Taxes Paid",2020,"2020",1146,308.22881111278355,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.048030176026823135
0,"Less Than $800",2019,"2019",11116778,38560.90797686175,"United States","01000US","united-states",0.14386110708541294
1,"$800 to $1,499",2019,"2019",12864206,49109.35984107306,"United States","01000US","united-states",0.16647439725204657
2,"$1,500 to $1,999",2019,"2019",7474286,34161.31920754817,"United States","01000US","united-states",0.09672398411059417
3,"$2,000 to $2,999",2019,"2019",11877218,47802.053188121536,"United States","01000US","united-states",0.15370188471648838
4,"$3,000 or More",2019,"2019",30755160,118969.237826423,"United States","01000US","united-states",0.39799943528502674
5,"No Real Estate Taxes Paid",2019,"2019",3186733,19969.552548817916,"United States","01000US","united-states",0.04123919155043118
0,"Less Than $800",2019,"2019",1857,248.8232304267429,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.08042094322463297
1,"$800 to $1,499",2019,"2019",2999,331.8870289722092,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.12987744142739596
2,"$1,500 to $1,999",2019,"2019",2735,336.88573730569243,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.11844441557316704
3,"$2,000 to $2,999",2019,"2019",5446,475.1778614371675,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.235849465159586
4,"$3,000 or More",2019,"2019",9064,530.8125846285109,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.3925338876618596
5,"No Real Estate Taxes Paid",2019,"2019",990,210.06903627141244,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.04287384695335845
0,"Less Than $800",2018,"2018",11635164,42964.70514270988,"United States","01000US","united-states",0.1522034523991884
1,"$800 to $1,499",2018,"2018",13267983,48866.32648358172,"United States","01000US","united-states",0.17356290113089431
2,"$1,500 to $1,999",2018,"2018",7253924,32426.08340518478,"United States","01000US","united-states",0.0948909939078925
3,"$2,000 to $2,999",2018,"2018",11924270,50360.791544613356,"United States","01000US","united-states",0.15598534419799068
4,"$3,000 or More",2018,"2018",29172423,107057.67718851367,"United States","01000US","united-states",0.3816141736764079
5,"No Real Estate Taxes Paid",2018,"2018",3191046,18804.818797318945,"United States","01000US","united-states",0.04174313468762628
0,"Less Than $800",2018,"2018",1597,237.73935307390738,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.08876660552498472
1,"$800 to $1,499",2018,"2018",2591,252.24789394561856,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.14401645267077984
2,"$1,500 to $1,999",2018,"2018",1967,244.2478249647272,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.10933244399977766
3,"$2,000 to $2,999",2018,"2018",4527,454.35668807666957,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.25162581290645325
4,"$3,000 or More",2018,"2018",6520,451.047669321104,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.36240342393418934
5,"No Real Estate Taxes Paid",2018,"2018",789,195.41238445912273,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.04385526096381524
0,"Less Than $800",2017,"2017",12180473,41910.65273889206,"United States","01000US","united-states",0.16062204206643968
1,"$800 to $1,499",2017,"2017",13486917,50943.805315268706,"United States","01000US","united-states",0.17784992009099979
2,"$1,500 to $1,999",2017,"2017",7370334,32559.669070799842,"United States","01000US","united-states",0.09719147177549761
3,"$2,000 to $2,999",2017,"2017",11752005,47753.8796434384,"United States","01000US","united-states",0.1549718998166171
4,"$3,000 or More",2017,"2017",27833151,98722.03233321322,"United States","01000US","united-states",0.3670315225659601
5,"No Real Estate Taxes Paid",2017,"2017",3210255,18283.512381377925,"United States","01000US","united-states",0.04233314368448568
0,"Less Than $800",2017,"2017",2051,290.6819567843866,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.11424910873440285
1,"$800 to $1,499",2017,"2017",2855,304.11346566701053,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.15903520499108734
2,"$1,500 to $1,999",2017,"2017",2083,238.79907872519107,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.11603163992869875
3,"$2,000 to $2,999",2017,"2017",4534,474.7230771723659,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.25256238859180036
4,"$3,000 or More",2017,"2017",5810,434.19465680728956,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.3236408199643494
5,"No Real Estate Taxes Paid",2017,"2017",619,167.83920876839238,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.034480837789661316
0,"Less Than $800",2016,"2016",12531747,45777.658306208716,"United States","01000US","united-states",0.16735534541254138
1,"$800 to $1,499",2016,"2016",13602086,53076.79362018772,"United States","01000US","united-states",0.18164919869999718
2,"$1,500 to $1,999",2016,"2016",7445603,31198.373835826766,"United States","01000US","united-states",0.09943238256163761
3,"$2,000 to $2,999",2016,"2016",11663686,47806.785480724386,"United States","01000US","united-states",0.1557628157760784
4,"$3,000 or More",2016,"2016",26506698,95975.3177540976,"United States","01000US","united-states",0.3539839736260172
5,"No Real Estate Taxes Paid",2016,"2016",3131248,19009.20306062303,"United States","01000US","united-states",0.04181628392372822
0,"Less Than $800",2016,"2016",2214,283.425475213503,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.12588128269274507
1,"$800 to $1,499",2016,"2016",2983,293.77712640707756,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.1696042756424835
2,"$1,500 to $1,999",2016,"2016",2323,304.11346566701053,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.13207869001591996
3,"$2,000 to $2,999",2016,"2016",4535,446.53443316277406,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.2578462588128269
4,"$3,000 or More",2016,"2016",5050,404.4564253414698,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.28712758699113033
5,"No Real Estate Taxes Paid",2016,"2016",483,158.25612152457168,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.027461905844894247
0,"Less Than $800",2015,"2015",12879501,48935.47736560869,"United States","01000US","united-states",0.1723884424543813
1,"$800 to $1,499",2015,"2015",13777456,51066.01752633546,"United States","01000US","united-states",0.18440731367028665
2,"$1,500 to $1,999",2015,"2015",7381394,32851.843616454775,"United States","01000US","united-states",0.0987978505380073
3,"$2,000 to $2,999",2015,"2015",11823238,48189.1236276403,"United States","01000US","united-states",0.15825066387179554
4,"$3,000 or More",2015,"2015",25749921,90398.20937385873,"United States","01000US","united-states",0.34465533831732803
5,"No Real Estate Taxes Paid",2015,"2015",3100581,19015.709715916466,"United States","01000US","united-states",0.041500391148201164
0,"Less Than $800",2015,"2015",2563,336.4817974274389,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.1469188879335053
1,"$800 to $1,499",2015,"2015",3068,265.63320575560584,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.17586701060475782
2,"$1,500 to $1,999",2015,"2015",2304,249.20874784003868,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.13207222699914015
3,"$2,000 to $2,999",2015,"2015",4541,421.3039282987995,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.26030381198051017
4,"$3,000 or More",2015,"2015",4489,352.41452864488997,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.257323015190599
5,"No Real Estate Taxes Paid",2015,"2015",480,143.22360140703069,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.027515047291487533
0,"Less Than $800",2014,"2014",13084968,48472.84374781409,"United States","01000US","united-states",0.17496205914734902
1,"$800 to $1,499",2014,"2014",13717368,51747.27915552662,"United States","01000US","united-states",0.183418022219233
2,"$1,500 to $1,999",2014,"2014",7542643,34096.920124844124,"United States","01000US","united-states",0.10085438120241014
3,"$2,000 to $2,999",2014,"2014",11891354,42869.47282157783,"United States","01000US","united-states",0.1590019770694178
4,"$3,000 or More",2014,"2014",25480506,87258.29093558961,"United States","01000US","united-states",0.3407055942266257
5,"No Real Estate Taxes Paid",2014,"2014",3070621,17287.79826929965,"United States","01000US","united-states",0.04105796613496434
0,"Less Than $800",2014,"2014",2641,317.90721916936707,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.15217516565831174
1,"$800 to $1,499",2014,"2014",3123,276.739950133695,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.17994814174589455
2,"$1,500 to $1,999",2014,"2014",2413,261.5836386320827,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.1390377412849323
3,"$2,000 to $2,999",2014,"2014",4463,382.1544190507288,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.2571593200806684
4,"$3,000 or More",2014,"2014",4302,305.66812067992964,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.24788245462402766
5,"No Real Estate Taxes Paid",2014,"2014",413,111.72287142747452,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.02379717660616537
0,"Less Than $800",2013,"2013",13204671,48677.49545734661,"United States","01000US","united-states",0.17588475365531056
1,"$800 to $1,499",2013,"2013",13902212,52861.0580389761,"United States","01000US","united-states",0.18517592243562164
2,"$1,500 to $1,999",2013,"2013",7668065,32567.909435516427,"United States","01000US","united-states",0.10213777560515586
3,"$2,000 to $2,999",2013,"2013",12013726,47260.06468467854,"United States","01000US","united-states",0.16002149830104814
4,"$3,000 or More",2013,"2013",25327452,91498.30479850432,"United States","01000US","united-states",0.3373588524649121
5,"No Real Estate Taxes Paid",2013,"2013",2959574,15983.608666380693,"United States","01000US","united-states",0.039421197537951695
0,"Less Than $800",2013,"2013",2604,344.70277051396033,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.15122829432603518
1,"$800 to $1,499",2013,"2013",3463,338.89231327960215,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.2011150473314362
2,"$1,500 to $1,999",2013,"2013",2467,285.3769437077915,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.14327196701318312
3,"$2,000 to $2,999",2013,"2013",4285,402.20392837464925,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.2488530112085487
4,"$3,000 or More",2013,"2013",3962,392.76583354461985,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.23009466287240837
5,"No Real Estate Taxes Paid",2013,"2013",438,115.43396380615197,"Manhattan, KS","31000US31740","manhattan-ks-31000US31740",0.02543701724838841